STATE/UT,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING & ABDUCTION,THEFT,TOTAL IPC CRIMES
JHARKHAND,PAKUR,2001,31,23,7,37,483
JHARKHAND,PALAMU,2001,73,15,14,94,1461
JHARKHAND,RANCHI,2001,243,73,1,647,1602
JHARKHAND,SAHEBGANJ,2001,47,20,17,80,628
JHARKHAND,SARAIKELA,2001,44,17,19,123,692
JHARKHAND,SIMDEGA,2001,49,17,12,14,247
JHARKHAND,TOTAL,2001,1507,567,441,3827,25447
KARNATAKA,BAGALKOT,2001,59,2,17,105,1710
KARNATAKA,BANGALORE COMMR.,2001,221,40,152,6293,27254
KARNATAKA,BANGALORE RURAL,2001,137,13,37,533,5209
KARNATAKA,BELGAUM,2001,120,8,27,386,5053
KARNATAKA,BELLARY,2001,58,16,14,303,3229
KARNATAKA,BIDAR,2001,48,7,19,202,4371
KARNATAKA,BIJAPUR,2001,51,6,24,202,2941
KARNATAKA,CHAMARAJNAGAR,2001,19,4,5,133,1390
KARNATAKA,CHICKMAGALUR,2001,41,8,12,222,2766
KARNATAKA,CHITRADURGA,2001,31,18,4,145,2691
KARNATAKA,DAKSHIN KANNADA,2001,33,3,9,219,3047
KARNATAKA,DAVANAGERE,2001,58,22,23,332,3301
KARNATAKA,DHARWAD COMMR.,2001,16,4,8,245,1902
KARNATAKA,DHARWAD RURAL,2001,25,3,3,38,899
KARNATAKA,GADAG,2001,22,2,4,55,899
KARNATAKA,GULBARGA,2001,95,20,35,268,4169
KARNATAKA,HASSAN,2001,64,20,17,268,4039
KARNATAKA,HAVERI,2001,24,3,12,111,2211
KARNATAKA,K.G.F.,2001,20,1,12,108,906
KARNATAKA,KODAGU,2001,26,4,4,87,1301
KARNATAKA,KOLAR,2001,69,17,21,284,3230
KARNATAKA,KOPPAL,2001,23,6,12,120,1406
KARNATAKA,MANDYA,2001,67,15,9,328,4807
KARNATAKA,MYSORE COMMR.,2001,32,2,11,326,1903
KARNATAKA,MYSORE RURAL,2001,53,12,14,200,2900
KARNATAKA,RAICHUR,2001,33,12,11,150,2384
KARNATAKA,RAILWAYS,2001,12,1,1,331,583
KARNATAKA,SHIMOGA,2001,56,12,14,292,4178
KARNATAKA,TUMKUR,2001,80,6,21,389,4141
KARNATAKA,UDUPI,2001,16,2,2,112,1959
KARNATAKA,UTTAR KANNADA,2001,17,4,5,81,2319
KARNATAKA,TOTAL,2001,1626,293,559,12868,109098
KERALA,ALAPUZHA,2001,22,21,8,195,7319
KERALA,CBCID,2001,22,2,2,5,250
KERALA,ERNAKULAM,2001,44,38,20,1264,14843
KERALA,IDUKKI,2001,33,34,0,254,5421
KERALA,KANNUR,2001,26,42,12,213,5888
KERALA,KASARGOD,2001,18,28,4,145,3116
KERALA,KOLLAM,2001,41,55,16,291,9282
KERALA,KOTTAYAM,2001,34,22,18,373,7082
KERALA,KOZHIKODE,2001,34,39,12,428,8394
KERALA,MALAPPURAM,2001,23,71,17,340,7428
KERALA,PALAKKAD,2001,45,63,14,315,6516
KERALA,PATHANAMTHITTA,2001,20,12,0,129,4100
KERALA,RAILWAYS,2001,0,1,0,197,289
KERALA,THRISSUR,2001,42,42,18,516,10465
KERALA,TRIVANDRUM,2001,53,57,41,636,11368
KERALA,WAYANADU,2001,15,35,1,140,2086
KERALA,TOTAL,2001,472,562,183,5441,103847
MADHYA PRADESH,BALAGHAT,2001,56,87,11,226,2925
MADHYA PRADESH,BARWANI,2001,41,34,2,237,2008
MADHYA PRADESH,BETUL,2001,56,95,19,246,2637
MADHYA PRADESH,BHIND,2001,63,31,47,283,3361
MADHYA PRADESH,BHOPAL,2001,61,106,55,1351,13708
MADHYA PRADESH,BHOPAL RLY.,2001,5,1,2,705,1036
MADHYA PRADESH,CHHATARPUR,2001,54,65,28,163,3361
MADHYA PRADESH,CHHINDWARA,2001,78,93,18,239,3672
MADHYA PRADESH,DAMOH,2001,43,66,18,188,2879
MADHYA PRADESH,DATIYA,2001,53,12,25,103,1866
MADHYA PRADESH,DEWAS,2001,50,78,20,677,5039
MADHYA PRADESH,DHAR,2001,89,68,22,651,4910
MADHYA PRADESH,DINDORI,2001,13,20,2,44,821
MADHYA PRADESH,GUNA,2001,71,124,17,350,6001
MADHYA PRADESH,GWALIOR,2001,84,59,46,925,6846
MADHYA PRADESH,HARDA,2001,14,28,2,74,746
MADHYA PRADESH,HOSHANGABAD,2001,53,65,16,286,2741
MADHYA PRADESH,INDORE,2001,111,84,50,2708,13063
MADHYA PRADESH,INDORE RLY.,2001,6,2,0,193,353
MADHYA PRADESH,JABALPUR,2001,103,108,33,887,8333
MADHYA PRADESH,JABALPUR RLY.,2001,3,0,0,221,359
MADHYA PRADESH,JHABUA,2001,124,44,83,269,3416
MADHYA PRADESH,KATNI,2001,51,25,9,239,2285
MADHYA PRADESH,KHANDWA,2001,41,63,14,290,3911
MADHYA PRADESH,KHARGON,2001,47,47,15,533,3499
MADHYA PRADESH,MANDLA,2001,35,64,9,116,2122
MADHYA PRADESH,MANDSAUR,2001,28,41,15,444,2616
MADHYA PRADESH,MORENA,2001,63,35,35,564,5229
MADHYA PRADESH,NARSINGHPUR,2001,38,70,7,149,2311
MADHYA PRADESH,NEEMUCH,2001,17,37,16,376,2208
MADHYA PRADESH,PANNA,2001,24,44,11,99,1921
MADHYA PRADESH,RAISEN,2001,39,79,11,187,3009
MADHYA PRADESH,RAJGARH,2001,42,95,12,218,3718
MADHYA PRADESH,RATLAM,2001,58,70,21,468,3342
MADHYA PRADESH,REWA,2001,53,31,26,410,4603
MADHYA PRADESH,SAGAR,2001,84,141,30,497,7681
MADHYA PRADESH,SATNA,2001,49,58,16,495,4763
MADHYA PRADESH,SEONI,2001,40,52,3,161,2143
MADHYA PRADESH,SHAHDOL,2001,57,63,13,390,4162
MADHYA PRADESH,SHAJAPUR,2001,42,90,13,588,3663
MADHYA PRADESH,SHEOPUR,2001,24,21,18,94,1053
MADHYA PRADESH,SHIVPURI,2001,88,72,20,255,4321
MADHYA PRADESH,SIDHI,2001,36,42,33,346,3508
MADHYA PRADESH,SIHORE,2001,35,59,29,364,3389
MADHYA PRADESH,TIKAMGARH,2001,53,86,7,172,3078
MADHYA PRADESH,UJJAIN,2001,84,59,44,1387,7641
MADHYA PRADESH,UMARIYA,2001,19,25,3,127,1849
MADHYA PRADESH,VIDISHA,2001,47,112,10,268,3635
MADHYA PRADESH,TOTAL,2001,2425,2851,956,20263,181741
MAHARASHTRA,AHMEDNAGAR,2001,97,44,37,715,4391
MAHARASHTRA,AKOLA,2001,64,15,15,735,4020
MAHARASHTRA,AMRAVATI COMMR.,2001,44,23,27,812,2837
MAHARASHTRA,AMRAVATI RURAL,2001,72,42,29,1031,3655
MAHARASHTRA,AURANGABAD COMMR.,2001,36,14,19,503,2351
MAHARASHTRA,AURANGABAD RURAL,2001,61,28,16,273,2708
MAHARASHTRA,BEED,2001,68,22,25,499,3644
MAHARASHTRA,BHANDARA,2001,32,39,4,402,2252
MAHARASHTRA,BULDHANA,2001,49,22,22,749,3701
MAHARASHTRA,CHANDRAPUR,2001,49,43,10,572,3123
MAHARASHTRA,DHULE,2001,48,16,6,360,2040
MAHARASHTRA,GADCHIROLI,2001,47,27,7,124,1364
MAHARASHTRA,GONDIA,2001,41,23,17,326,2006
MAHARASHTRA,HINGOLI,2001,36,20,9,241,1841
MAHARASHTRA,JALGAON,2001,83,19,16,557,4014
MAHARASHTRA,JALNA,2001,43,16,12,345,2529
MAHARASHTRA,KOLHAPUR,2001,54,26,21,561,3162
MAHARASHTRA,LATUR,2001,42,7,22,281,3044
MAHARASHTRA,MUMBAI,2001,295,127,148,11564,28968
MAHARASHTRA,MUMBAI RLY.,2001,12,2,1,1756,2023
MAHARASHTRA,NAGPUR COMMR.,2001,112,39,64,2666,9912
MAHARASHTRA,NAGPUR RLY.,2001,12,2,0,762,1056
MAHARASHTRA,NAGPUR RURAL,2001,101,81,23,1074,5680
MAHARASHTRA,NANDED,2001,80,23,41,539,5348
MAHARASHTRA,NANDURBAR,2001,44,16,6,132,1079
MAHARASHTRA,NASIK COMMR.,2001,25,9,14,529,2195
MAHARASHTRA,NASIK RURAL,2001,92,39,17,447,4880
MAHARASHTRA,NAVI MUMBAI,2001,34,17,19,893,3063
MAHARASHTRA,OSMANABAD,2001,48,16,8,349,2702
MAHARASHTRA,PARBHANI,2001,49,25,22,230,2475
MAHARASHTRA,PUNE COMMR.,2001,71,56,46,2508,8936
MAHARASHTRA,PUNE RLY.,2001,4,0,0,302,386
MAHARASHTRA,PUNE RURAL,2001,119,42,24,635,4380
MAHARASHTRA,RAIGAD,2001,53,20,8,296,2218
MAHARASHTRA,RATNAGIRI,2001,17,10,8,256,1431
MAHARASHTRA,SANGLI,2001,85,32,18,515,2999
MAHARASHTRA,SATARA,2001,57,32,12,464,3465
MAHARASHTRA,SINDHUDURG,2001,14,7,2,106,821
MAHARASHTRA,SOLAPUR COMMR.,2001,30,16,15,306,1567
MAHARASHTRA,SOLAPUR RURAL,2001,101,35,23,365,3145
MAHARASHTRA,THANE COMMR.,2001,133,39,62,1774,6616
MAHARASHTRA,THANE RURAL,2001,140,65,28,523,3780
MAHARASHTRA,WARDHA,2001,60,35,12,592,3443
MAHARASHTRA,WASHIM,2001,29,15,13,409,1826
MAHARASHTRA,YAVATMAL,2001,56,56,37,788,4157
MAHARASHTRA,TOTAL,2001,2839,1302,985,39866,171233
MANIPUR,BISHNUPUR,2001,29,1,3,11,226
MANIPUR,CHANDEL,2001,7,0,1,1,74
MANIPUR,CHURACHANDPUR,2001,35,1,0,12,132
MANIPUR,IMPHAL(EAST),2001,29,7,13,28,337
MANIPUR,IMPHAL(WEST),2001,44,7,48,121,1084
MANIPUR,SENAPATI,2001,27,0,6,9,176
MANIPUR,TAMENGLONG,2001,2,0,0,4,14
MANIPUR,THOUBAL,2001,32,4,22,20,403
MANIPUR,UKHRUL,2001,4,0,1,11,43
MANIPUR,TOTAL,2001,209,20,94,217,2489
MEGHALAYA,GARO HILLS EAST,2001,16,2,5,16,134
MEGHALAYA,GARO HILLS SOUTH,2001,6,1,2,8,49
MEGHALAYA,GARO HILLS WEST,2001,19,5,14,30,235
MEGHALAYA,JAINTIA HILLS,2001,35,7,6,30,214
MEGHALAYA,KHASI HILLS EAST,2001,50,5,20,142,754
MEGHALAYA,KHASI HILLS WEST,2001,16,4,0,23,125
MEGHALAYA,RI-BHOI,2001,22,2,8,22,176
MEGHALAYA,TOTAL,2001,164,26,55,271,1687
MIZORAM,AIZAWL,2001,12,26,0,562,1126
MIZORAM,CHAMPHAI,2001,2,7,1,51,203
MIZORAM,KOLASIB,2001,3,6,0,83,216
MIZORAM,LAWNGTLAI,2001,2,2,0,25,160
MIZORAM,LUNGLEI,2001,5,3,0,120,229
MIZORAM,MAMIT,2001,4,0,0,12,74
MIZORAM,SAIHA,2001,2,3,0,0,182
MIZORAM,SERCHHIP,2001,1,5,1,25,56
MIZORAM,TOTAL,2001,31,52,2,878,2246
NAGALAND,DIMAPUR,2001,36,4,13,114,464
NAGALAND,KIPHIRE,2001,1,0,0,5,18
NAGALAND,KOHIMA,2001,25,6,3,66,335
NAGALAND,MOKOKCHUNG,2001,12,1,1,12,93
NAGALAND,MON,2001,3,2,2,6,57
NAGALAND,PEREN,2001,0,0,0,4,28
NAGALAND,PHEK,2001,7,1,2,7,51
NAGALAND,TUENSANG,2001,1,0,0,5,41
NAGALAND,WOKHA,2001,12,1,2,28,93
NAGALAND,ZUNHEBOTO,2001,4,2,0,11,54
NAGALAND,TOTAL,2001,101,17,23,258,1234
ODISHA,ANGUL,2001,39,33,5,175,1461
ODISHA,BALASORE,2001,17,58,37,164,2341
ODISHA,BARAGARH,2001,23,19,8,146,1244
ODISHA,BERHAMPUR,2001,23,10,13,143,1270
ODISHA,BHADRAK,2001,27,35,20,93,1354
ODISHA,BOLANGIR,2001,32,19,16,112,1323
ODISHA,BOUDH,2001,9,6,5,39,415
ODISHA,CUTTACK,2001,35,34,43,738,4258
ODISHA,DEOGARH,2001,16,8,4,22,363
ODISHA,DHENKANAL,2001,25,15,14,84,1156
ODISHA,GAJAPATI,2001,19,10,5,40,433
ODISHA,GANJAM,2001,58,22,14,124,1790
ODISHA,JAGATSINGHPUR,2001,26,12,21,136,1314
ODISHA,JAJPUR,2001,21,24,14,129,1522
ODISHA,JHARSUGUDA,2001,15,12,5,81,750
ODISHA,KALAHANDI,2001,29,30,17,75,1269
ODISHA,KANDHAMAL,2001,24,34,25,115,1000
ODISHA,KENDRAPARA,2001,24,11,15,78,1057
ODISHA,KEONJHAR,2001,62,38,19,154,1922
ODISHA,KHURDA,2001,46,65,39,953,5076
